TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0001944"	"vasculature development"	-1.3267947182209547	4.936553953069349	0.24531110479965668	0.8194191275169364	0.65150899	-5.021294801530001	-3.925813144993327	null
"GO:0002262"	"myeloid cell homeostasis"	-1.3199365725180514	4.23459320248533	0.04872324210505755	0.8797857171758311	0.40355415	-5.90674498258016	-3.0340160901101965	null
"GO:0002682"	"regulation of immune system process"	-1.5915904215315704	5.4045275508037145	0.7205997734008687	0.9229015267395552	0.14705718	-1.2276697519235844	6.2469844272896555	null
"GO:0002831"	"regulation of response to biotic stimulus"	-1.975104039892515	4.9983465373963645	0.282820222308806	0.8647007531632283	0.63061791	-0.10912998458927305	5.028514597682698	null
"GO:0003012"	"muscle system process"	-2.815308569182401	4.688989015376327	0.13872297977971257	0.8582692929031657	-0	-5.588696408180169	-2.9568025881385105	null
"GO:0006091"	"generation of precursor metabolites and energy"	-1.4575480526240234	5.946414434547462	2.509471250902382	0.9579453612556623	0.07318876	-1.9543895813522125	-8.158976669760207	null
"GO:0006099"	"tricarboxylic acid cycle"	-1.4522252946121774	5.22768107275287	0.4795642310420823	0.9495775175396066	0.07896789	-0.9403482582848557	-7.459032038419964	null
"GO:0006108"	"malate metabolic process"	-1.476773958034299	4.486203708021318	0.08696766550543224	0.9020994963918423	0.36096549	1.128763396655643	-2.667932465704609	null
"GO:0006163"	"purine nucleotide metabolic process"	-1.4671182805926026	5.909300833011952	2.3039262836254815	0.7738013662101288	0.65219475	4.398126781241387	-2.0498169627345897	null
"GO:0009141"	"nucleoside triphosphate metabolic process"	-1.359518563029578	5.61410168679663	1.1675323213783004	0.7893001932793771	0.72670558	null	null	6163
"GO:1901293"	"nucleoside phosphate biosynthetic process"	-1.3059215379192406	5.98559845118241	2.746415767047826	0.7600718932661212	0.81110352	null	null	6163
"GO:0006206"	"pyrimidine nucleobase metabolic process"	-1.3397038397292702	5.004372970061962	0.28677213659678175	0.8354957055339551	0.28067205	5.250215929578713	-2.516692689753253	null
"GO:0006260"	"DNA replication"	-1.4737899961583356	5.722588681168919	1.4988429862435908	0.8478410415893023	0.51815042	6.314621414746054	-3.6575371201805815	null
