TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0001822"	"kidney development"	-1.3496924768680636	4.479560915024855	0.0856475217238886	0.6230348423444513	0.59182406	-5.692602111718095	2.619599924003749	null
"GO:0006403"	"RNA localization"	-2.283996656365201	5.18150058846776	0.43118734924099966	0.8159085137563465	0	1.9558821503786896	6.8978616888108855	null
"GO:0006457"	"protein folding"	-1.3178549236261683	5.602053476861875	1.1355876808838297	0.9520949329642249	0.27188323	-1.0360296300202696	-5.886688184062625	null
"GO:0007021"	"tubulin complex assembly"	-1.5670307091255944	4.119321886463977	0.037364327546012266	0.9207018857875888	0.20960521	4.961758813185112	0.6415751642026573	null
"GO:0007028"	"cytoplasm organization"	-1.8794260687941502	3.508664363052943	0.009155835904254202	0.9332706833185263	0.00212161	4.262827223409784	-0.10909403117601998	null
"GO:0007309"	"oocyte axis specification"	-2.1739251972991736	3.5435714239623652	0.00992237100321502	0.5247861323696643	0.57143096	-5.281591065374382	1.3748513322033094	null
"GO:0007294"	"germarium-derived oocyte fate determination"	-1.329754146925876	2.113943352306837	0.00036623343617016806	0.6483526294216001	0.77793018	null	null	7309
"GO:0007308"	"oocyte construction"	-2.0969100130080562	3.5459253293558426	0.00997631236203078	0.6085549887926588	0.92190432	null	null	7309
"GO:0007315"	"pole plasm assembly"	-1.8181564120552274	3.337459261290656	0.006172027056077095	0.47647838812439747	0.97422425	null	null	7309
"GO:0009994"	"oocyte differentiation"	-1.562249437179612	3.874423830586502	0.02125857341117999	0.6160422688188554	0.8175627	null	null	7309
"GO:0007351"	"tripartite regional subdivision"	-1.8961962790440432	3.520614521878236	0.009411347603907806	0.6108392626670105	0.63160916	-5.217337792930169	1.8564198303818487	null
"GO:0009448"	"gamma-aminobutyric acid metabolic process"	-2.070581074285707	4.341573001877846	0.06233349863993961	0.9821742967949368	-0	4.783987863452076	-2.9402547435471655	null
"GO:0009880"	"embryonic pattern specification"	-2.036212172654445	4.155578931476932	0.04061784318826817	0.6011944108178463	0.68585269	-5.594892617048277	1.6383281128496987	null
"GO:0010248"	"establishment or maintenance of transmembrane electrochemical gradient"	-1.4621809049267258	4.031085148039481	0.030493901844215313	0.9110661050973451	0.18758971	4.506443999979133	4.943558394906884	null
"GO:0015931"	"nucleobase-containing compound transport"	-1.8297382846050425	5.349201737925524	0.6344071600510524	0.8945653941536629	0.24178085	3.3848267003449735	6.292427698270741	null
"GO:0030537"	"larval behavior"	-1.3306831194338877	2.959994838328416	0.002586346204271497	0.8061021991154845	0.29502156	-6.192500360480833	-0.9058409921008238	null
"GO:0033619"	"membrane protein proteolysis"	-1.5171264163912463	4.345256072776664	0.0628643951714421	0.9583927364201941	0.06357375	-2.011799389711653	-6.054640948867602	null
"GO:0035845"	"photoreceptor cell outer segment organization"	-1.3353580244438745	3.28397928423848	0.005456594297047	0.6158271158737786	0.31194486	-3.6414322093791878	1.6612622502180587	null
"GO:0043545"	"molybdopterin cofactor metabolic process"	-1.3726341434072673	4.794418330874141	0.17683964733026045	0.9364418992077391	0.38115691	0.49279396454822316	-5.336351306192025	null
"GO:0045185"	"maintenance of protein location"	-1.3062730510763532	4.4750898033890065	0.08477026488841122	0.8283678037877401	0.44268159	1.4355203833208208	7.329707382867884	null
"GO:0046835"	"carbohydrate phosphorylation"	-1.586700235918748	4.9819453899717105	0.2723385645852381	0.9606487512347872	0.06353316	2.189907171545294	-4.625858643147719	null
"GO:0048882"	"lateral line development"	-1.640164517660112	3.4119562379304016	0.007327507742288401	0.6423740197623755	0.48262198	-6.382562206651541	2.329432787440051	null
"GO:0048925"	"lateral line system development"	-1.7011469235902934	3.4643404846276673	0.00826722299323666	0.666854968696479	0.64944447	-6.451660166283305	1.468624431256364	null
"GO:0051205"	"protein insertion into membrane"	-1.6363880201078558	4.819425475437874	0.18732130505382838	0.7472469673898914	0.47261329	2.735326597749607	4.317177950805927	null
"GO:0045048"	"protein insertion into ER membrane"	-1.4634415574284698	4.208656300507248	0.04589841831444269	0.7653116394763642	0.74413085	null	null	51205
"GO:0051236"	"establishment of RNA localization"	-2.3872161432802645	5.153345267743352	0.4041201431910277	0.7760577235073922	0.64830993	1.9080912778335675	6.450288429636262	null
"GO:0008298"	"intracellular mRNA localization"	-2.2006594505464183	3.7942788657214	0.01767573157825943	0.8096109954594317	0.76638204	null	null	51236
"GO:0060485"	"mesenchyme development"	-1.4934949675951281	4.586452269852228	0.1095492217170409	0.6596541996059666	0.56392683	-5.611413795545625	4.231603569792086	null
"GO:0060810"	"intracellular mRNA localization involved in pattern specification process"	-2.3872161432802645	2.6757783416740852	0.0013428559326239496	0.5206082414485902	0.33256854	-2.82318352310005	3.8509995979680323	null
"GO:0072132"	"mesenchyme morphogenesis"	-1.779891911959945	3.534660575828444	0.009720800662377174	0.6800396054890875	-0	-5.856225341601677	4.557178140360378	null
"GO:0090130"	"tissue migration"	-1.341035157335565	3.6942541120252783	0.01403894838652311	0.7906898844393901	-0	-5.421847430803773	-0.6812138750340964	null
"GO:0090131"	"mesenchyme migration"	-1.7351821769904636	2.3944516808262164	0.0007012376646048955	0.683972917525958	0.64521231	-6.29096347678596	3.3648667665965246	null
